gameTitle,gamePlatform,gameGenre,gameReleaseDate,gamePublisher,completionStatus,completionYear,gameReview,gameRating,gamePlaytime,recentPlaytime,favoriteStatus,drawableName
Halo Reach,Xbox 360,Shooter,2010,Bungie,yes,2012,Sci-fi thrill,4,14.45,1.15,yes,https://www.halopedia.org/images/6/65/Halo_Reach_%28Standard_with_ESRB%29.png?dda9a
Red Dead Redemption,Xbox 360,Adventure,2010,Rockstar Games,yes,2011,Western masterpiece,5,13.30,2.45,no,https://upload.wikimedia.org/wikipedia/en/a/a7/Red_Dead_Redemption.jpg
Gears of War 3,Xbox 360,Shooter,2011,Microsoft Studios,yes,2012,Intense finale,4,10.30,1.00,yes,https://upload.wikimedia.org/wikipedia/en/d/dc/Gears_of_War_3_box_artwork.png
Mass Effect 2,Xbox 360,RPG,2010,BioWare,yes,2011,Cinematic sci-fi,5,16.00,2.50,no,https://upload.wikimedia.org/wikipedia/en/0/05/MassEffect2_cover.PNG
Minecraft,Xbox One,Sandbox,2011,Mojang,no,2015,BActiolocky fun,5,25.00,6.30,no,https://upload.wikimedia.org/wikipedia/en/b/b6/Minecraft_2024_cover_art.png
The Last of Us,PS3,Action-Adventure,2013,Naughty Dog,yes,2014,Hauntingly emotional,5,12.30,3.45,yes,https://upload.wikimedia.org/wikipedia/en/4/46/Video_Game_Cover_-_The_Last_of_Us.jpg
Bioshock Infinite,PS4,Shooter,2013,2K Games,yes,2015,Stunning story,5,11.00,0.45,no,https://upload.wikimedia.org/wikipedia/en/a/a3/Official_cover_art_for_Bioshock_Infinite.jpg
Assassin's Creed IV,PS4,Action,2013,Ubisoft,yes,2014,Pirate vibes,4,15.10,3.30,no,https://upload.wikimedia.org/wikipedia/en/2/28/Assassin%27s_Creed_IV_-_Black_Flag_cover.jpg
Journey,PS3,Adventure,2012,Thatgamecompany,yes,2013,Silent wonder,5,2.30,0.30,no,https://upload.wikimedia.org/wikipedia/en/6/64/Journey_Title_Poster.png
Rocket League,PS4,Sports,2015,Psyonix,yes,2016,Crazy soccer,4,9.00,2.15,yes,https://upload.wikimedia.org/wikipedia/en/1/13/Rocket_League_cover.png
Inside,PS4,Puzzle,2016,Playdead,yes,2017,Darkly elegant,4,5.45,0.40,yes,https://upload.wikimedia.org/wikipedia/en/5/50/INSIDE_Xbox_One_cover_art.png
Stardew Valley,Steam,Simulation,2016,ConcernedApe,no,2019,Peaceful farming,5,10.00,6.15,no,https://upload.wikimedia.org/wikipedia/en/f/fd/Logo_of_Stardew_Valley.png
Celeste,Steam,Platformer,2018,Matt Makes Games,no,2019,Mindful climb,4,6.20,1.10,yes,https://upload.wikimedia.org/wikipedia/commons/0/0f/Celeste_box_art_full.png
Portal 2,Steam,Puzzle,2011,Valve,yes,2012,Ingenious fun,5,9.15,0.00,yes,https://upload.wikimedia.org/wikipedia/en/f/f9/Portal2cover.jpg
Terraria,Steam,Sandbox,2011,Re-Logic,no,2018,Creative freedom,4,20.30,5.10,no,https://upload.wikimedia.org/wikipedia/en/1/1a/Terraria_Steam_artwork.jpg
Skyrim,Steam,RPG,2011,Bethesda,yes,2013,Epic quest,5,22.45,4.20,yes,https://upload.wikimedia.org/wikipedia/en/1/15/The_Elder_Scrolls_V_Skyrim_cover.png
Cuphead,Steam,Platformer,2017,Studio MDHR,no,2018,Retro chaos,4,10.25,2.00,no,https://upload.wikimedia.org/wikipedia/en/e/eb/Cuphead_%28artwork%29.png
Mario Kart 8,Nintendo Switch,Racing,2017,Nintendo,yes,2018,Colorful chaos,4,8.15,2.00,yes,https://upload.wikimedia.org/wikipedia/en/b/b5/MarioKart8Boxart.jpg
Splatoon 2,Nintendo Switch,Shooter,2017,Nintendo,no,2019,Color splash,3,7.15,1.45,yes,https://upload.wikimedia.org/wikipedia/en/4/49/Splatoon_2.jpg
Team Fortress 2,Steam,Shooter,2007,Valve Software,yes,2007,A fun shooter with wacky aesthetics,5,0.01,0.01,yes,https://wiki.teamfortress.com/w/images/d/d9/TF2_Boxart.png
Pokemon Scarlet,Nintendo Switch,Adventure,2022,The Pokemon Company,yes,2022,relaxing and fun,4,8.5,1.7,no,https://upload.wikimedia.org/wikipedia/en/0/00/Pok%C3%A9mon_Scarlet_and_Violet_banner.png
Super Mario Bros Wonder,Nintendo Switch,Platformer,2023,Nintendo,yes,2024,I had so much fun it was very nostalgic,5,12.6,2.1,no,https://upload.wikimedia.org/wikipedia/en/a/a3/Mariowonder.png
Super Mario Odyssey,Nintendo Switch,Adventure,2017,Nintendo,yes,2017,Very fun and refreshing,3,9.2,0.7,no,https://upload.wikimedia.org/wikipedia/en/8/8d/Super_Mario_Odyssey.jpg
Super Mario Party Jamboree,Nintendo Switch,Puzzle,2024,Nintendo,no,2025,Super fun party game,4,5.3,0.8,yes,https://upload.wikimedia.org/wikipedia/en/3/3a/Super_Mario_Party_Jamboree_cover_art.jpg
Nintendo Switch Sports,Nintendo Switch,Sports,2022,Nintendo,no,2025,I had fun playing with friends,3,6.4,2.1,yes,https://upload.wikimedia.org/wikipedia/en/2/29/Nintendo_Switch_Sports_cover_art.jpg
Frostpunk,Steam,City building,2018,11 Bit Studios,yes,2022,Really hooks you in I found myself playing this for hours,5,20.4,3.3,yes,https://upload.wikimedia.org/wikipedia/en/a/a3/Frostpunk_cover_art.jpg
R.E.P.O,Steam,Horror,2025,Semiwork Studios,no,2025,The proximity chat made the game so fun and scary,4,15.6,1.5,yes,https://upload.wikimedia.org/wikipedia/en/1/12/R.E.P.O._cover.jpg
Dark Souls 3,Steam,Action,2016,FromSoftware Inc.,yes,2021,So hard but very rewarding,4,30.1,2.4,no,https://upload.wikimedia.org/wikipedia/en/b/bb/Dark_souls_3_cover_art.jpg
Borderlands 2,Steam,Adventure,2012,2k,yes,2023,The story is great and very funny as well,4,37.2,2.4,yes,https://upload.wikimedia.org/wikipedia/en/5/51/Borderlands_2_cover_art.png
Rainbow Six Siege,Xbox,Shooter,2015,Ubisoft Montreal,no,2025,One of the best shooting games to date,4,100.5,2.1,no,https://upload.wikimedia.org/wikipedia/en/4/47/Tom_Clancy%27s_Rainbow_Six_Siege_cover_art.jpg
Sea of Thieves,Xbox,Adventure,2018,Rare,no,2025,Very visually pleasing graphics and so fun to play,5,55.9,4.5,yes,https://upload.wikimedia.org/wikipedia/en/7/77/Sea_of_thieves_cover_art.jpg
Cyberpunk 2077,Xbox,Open World,2020,CD Projekt RED,yes,2023,Had a rough start but the game as really redeemed itself,3,44.7,1.9,no,https://upload.wikimedia.org/wikipedia/en/9/9f/Cyberpunk_2077_box_art.jpg
The Witcher 3,PS5,Adventure,2015,CD Projekt RED,no,2025,This game is mind blowing,5,55.6,4.7,yes,https://upload.wikimedia.org/wikipedia/en/0/0c/Witcher_3_cover_art.jpg
Infamous Second Son,PS4,Action,2014,Sucker Punch Productions,yes,2025,A really good successor to the first 2 games,4,33.6,1.7,yes,https://upload.wikimedia.org/wikipedia/en/3/34/Infamous_second_son_boxart.jpg
God of War,PS4,Adventure,2018,Santa Monica Studios,yes,2024,One of the best games I've ever played,5,47.9,3.1,yes,https://upload.wikimedia.org/wikipedia/en/a/a7/God_of_War_4_cover.jpg
